filename, language, HTML, comment, blank, total
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Bus/config.ejs, HTML, 10, 1, 1, 12
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Bus/createDriver.ejs, HTML, 215, 2, 21, 238
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Bus/manageBus.ejs, HTML, 167, 3, 9, 179
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Bus/manageDriver.ejs, HTML, 134, 0, 5, 139
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Bus/manageRoute.ejs, HTML, 140, 5, 12, 157
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Bus/nav.ejs, HTML, 63, 0, 5, 68
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Bus/status.ejs, HTML, 145, 4, 12, 161
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Manager/complete.ejs, HTML, 41, 0, 5, 46
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Manager/config.ejs, HTML, 10, 1, 1, 12
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Manager/index.ejs, HTML, 12, 0, 1, 13
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Manager/itemList.ejs, HTML, 27, 0, 1, 28
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Manager/nav.ejs, HTML, 63, 0, 8, 71
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Manager/route.ejs, HTML, 474, 18, 35, 527
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Manager/signup.ejs, HTML, 59, 0, 3, 62
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Manager/signup_form.ejs, HTML, 184, 0, 21, 205
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Owner/config.ejs, HTML, 10, 1, 1, 12
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Owner/itemList.ejs, HTML, 180, 3, 9, 192
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/Owner/nav.ejs, HTML, 63, 0, 8, 71
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/ask.ejs, HTML, 76, 0, 7, 83
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/config.ejs, HTML, 9, 1, 2, 12
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/footer.ejs, HTML, 7, 0, 0, 7
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/index.ejs, HTML, 89, 7, 6, 102
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/intro.ejs, HTML, 140, 6, 5, 151
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/login.ejs, HTML, 71, 0, 6, 77
/Users/isanhae/Projects/BusLinker/BuslinkerServer/Views/nav.ejs, HTML, 51, 2, 6, 59
Total, -, 2440, 54, 190, 2684